danger_level;estimated_number;destructive_size;dl_x;num_x;x;y;colour
1 Liten;Ingen;Ikke gitt;0;100;100;100;blue
1 Liten;Fra faretegn;Ikke gitt;0;200;200;100;white
1 Liten;Ett (1);Ikke gitt;0;300;300;100;gray
1 Liten;Noen (2-5);Ikke gitt;0;400;400;100;gray
1 Liten;Flere (6-10);Ikke gitt;0;500;500;100;gray
1 Liten;Mange (10 eller mer);Ikke gitt;0;600;600;100;gray
1 Liten;Ingen;1 - Harmloest;0;100;100;200;gray
1 Liten;Fra faretegn;1 - Harmloest;0;200;200;200;gray
1 Liten;Ett (1);1 - Harmloest;0;300;300;200;white
1 Liten;Noen (2-5);1 - Harmloest;0;400;400;200;white
1 Liten;Flere (6-10);1 - Harmloest;0;500;500;200;white
1 Liten;Mange (10 eller mer);1 - Harmloest;0;600;600;200;white
1 Liten;Ingen;2 - Smaa;0;100;100;300;gray
1 Liten;Fra faretegn;2 - Smaa;0;200;200;300;gray
1 Liten;Ett (1);2 - Smaa;0;300;300;300;white
1 Liten;Noen (2-5);2 - Smaa;0;400;400;300;white
1 Liten;Flere (6-10);2 - Smaa;0;500;500;300;white
1 Liten;Mange (10 eller mer);2 - Smaa;0;600;600;300;white
1 Liten;Ingen;3 - Middels;0;100;100;400;gray
1 Liten;Fra faretegn;3 - Middels;0;200;200;400;gray
1 Liten;Ett (1);3 - Middels;0;300;300;400;white
1 Liten;Noen (2-5);3 - Middels;0;400;400;400;white
1 Liten;Flere (6-10);3 - Middels;0;500;500;400;white
1 Liten;Mange (10 eller mer);3 - Middels;0;600;600;400;white
1 Liten;Ingen;4 - Store;0;100;100;500;gray
1 Liten;Fra faretegn;4 - Store;0;200;200;500;gray
1 Liten;Ett (1);4 - Store;0;300;300;500;white
1 Liten;Noen (2-5);4 - Store;0;400;400;500;white
1 Liten;Flere (6-10);4 - Store;0;500;500;500;white
1 Liten;Mange (10 eller mer);4 - Store;0;600;600;500;white
1 Liten;Ingen;5 - Svaert store;0;100;100;600;gray
1 Liten;Fra faretegn;5 - Svaert store;0;200;200;600;gray
1 Liten;Ett (1);5 - Svaert store;0;300;300;600;white
1 Liten;Noen (2-5);5 - Svaert store;0;400;400;600;white
1 Liten;Flere (6-10);5 - Svaert store;0;500;500;600;white
1 Liten;Mange (10 eller mer);5 - Svaert store;0;600;600;600;white
2 Moderat;Ingen;Ikke gitt;600;100;700;100;blue
2 Moderat;Fra faretegn;Ikke gitt;600;200;800;100;white
2 Moderat;Ett (1);Ikke gitt;600;300;900;100;gray
2 Moderat;Noen (2-5);Ikke gitt;600;400;1000;100;gray
2 Moderat;Flere (6-10);Ikke gitt;600;500;1100;100;gray
2 Moderat;Mange (10 eller mer);Ikke gitt;600;600;1200;100;gray
2 Moderat;Ingen;1 - Harmloest;600;100;700;200;gray
2 Moderat;Fra faretegn;1 - Harmloest;600;200;800;200;gray
2 Moderat;Ett (1);1 - Harmloest;600;300;900;200;white
2 Moderat;Noen (2-5);1 - Harmloest;600;400;1000;200;white
